doc_id,title,text
req_01,Установка и первые шаги,Библиотеку requests можно установить командой pip install requests. Она предоставляет интуитивно понятный API поверх urllib3 и является де-факто стандартом для HTTP-запросов в Python.
req_02,Базовый GET-запрос,"Метод requests.get(url) отправляет HTTP-запрос GET на указанный ресурс. Возвращаемый объект Response содержит статус, заголовки и тело ответа."
req_03,Передача параметров в URL,"Параметр params принимает словарь, который автоматически преобразуется в query-строку URL. Например, requests.get(url, params={'key': 'value'})."
req_04,Отправка POST-запросов,"Для отправки данных на сервер используется requests.post(url, data=...). Параметр data кодируется как application/x-www-form-urlencoded."
req_05,Работа с JSON,"Передача JSON выполняется через параметр json=, который автоматически устанавливает заголовок Content-Type: application/json. Парсинг ответа выполняется методом response.json()."
req_06,Пользовательские заголовки,"Словарь headers позволяет передавать произвольные HTTP-заголовки. Часто используется для указания User-Agent, Accept или кастомных ключей авторизации."
req_07,Basic и Digest аутентификация,"Параметр auth=('user', 'pass') включает базовую HTTP-аутентификацию. Для digest-метода используется requests.auth.HTTPDigestAuth."
req_08,OAuth и токены в заголовках,"Токены доступа обычно передаются в заголовке Authorization: Bearer <token>. Requests не включает OAuth по умолчанию, но легко интегрируется с requests-oauthlib."
req_09,Сессии и cookies,Объект requests.Session() сохраняет cookies между запросами и переиспользует TCP-соединения. Это ускоряет работу при множественных запросах к одному домену.
req_10,Обработка ошибок,Метод response.raise_for_status() выбрасывает HTTPError при статус-кодах 4xx и 5xx. Рекомендуется оборачивать запросы в try-except блоки.
req_11,Статус-коды,Атрибут response.status_code содержит числовой код ответа сервера. Свойство response.ok равно True для статусов от 200 до 399.
req_12,Таймауты,"Всегда указывайте параметр timeout=(connect, read) или timeout=число. Без него запрос может зависнуть навечно при проблемах сети."
req_13,Прокси-серверы,"Параметр proxies={'http': '...', 'https': '...'} направляет трафик через указанный прокси. Настройки можно задать глобально для сессии или отдельно для запроса."
req_14,Редиректы,По умолчанию requests автоматически следует редиректам (до 30 шагов). Параметр allow_redirects=False отключает это поведение.
req_15,Потоковая передача,"Флаг stream=True скачивает заголовки сразу, но тело ответа читается постепенно. Используйте response.iter_content() для экономии памяти."
req_16,Загрузка больших файлов,Комбинация stream=True и итеративного чтения chunks позволяет скачивать гигабайтные файлы без загрузки всего содержимого в RAM.
req_17,Отправка файлов (Multipart),"Для загрузки файлов используется requests.post(url, files={'file': open(...)}). Библиотека сама формирует заголовки multipart/form-data."
req_18,Prepared Requests,Класс requests.PreparedRequest() позволяет полностью настроить запрос перед отправкой через session.send(req). Полезно для отладки и middleware.
req_19,Хуки событий,Параметр hooks={'response': callback} вызывает функцию после получения ответа. Позволяет модифицировать response до его возврата в код.
req_20,Адаптеры запросов,"Класс requests.adapters.HTTPAdapter позволяет настраивать пулы соединений, таймауты и retry-логику для конкретных префиксов URL."
req_21,Транспортные адаптеры,"Адаптеры управляют пулами соединений (pool_connections, pool_maxsize). Это критично для высоконагруженных приложений и микросервисов."
req_22,Проверка SSL-сертификатов,Параметр verify=True (по умолчанию) проверяет SSL-сертификаты сервера. verify='/path/to/cert.pem' или verify=False отключает проверку (небезопасно).
req_23,Клиентские сертификаты,"Для аутентификации на стороне сервера используется параметр cert=('client.pem', 'key.pem'). Отправляется только на запросы с TLS handshake."
req_24,Кодировка ответа,"requests пытается угадать кодировку из HTTP-заголовков. Если response.encoding неверен, укажите его вручную перед вызовом response.text."
req_25,Бинарные данные,"Атрибут response.content возвращает сырые байты ответа. Используется для изображений, PDF и других не-текстовых форматов."
req_26,Методы PATCH и PUT,"requests.patch() применяется для частичного обновления ресурса, а requests.put() — для полной замены. Оба поддерживают data, json и files."
req_27,Метод DELETE,"requests.delete(url) отправляет HTTP DELETE запрос для удаления ресурса. Возвращает статус 200, 202 или 204 при успехе."
req_28,Отладка запросов,Для логирования включите logging.getLogger('urllib3').setLevel(logging.DEBUG). Это покажет детали HTTP-обмена и SSL-рукопожатий.
req_29,Мониторинг через urllib3,requests использует urllib3 под капотом. Настройка пулов и логирование осуществляются через urllib3.util.retry и стандартный logging.
req_30,Пагинация ответов,"При работе с API часто приходится делать последовательные запросы, увеличивая offset или page. Цикл while с проверкой 'next' ссылки — стандартный паттерн."
req_31,Ограничение скорости (Rate Limiting),"При статусе 429 Too Many Requests используйте заголовки Retry-After. Библиотека requests не имеет встроенного backoff, но легко интегрируется с tenacity."
req_32,Тестирование с requests-mock,"Библиотека requests-mock позволяет подменять ответы без реальных сетевых вызовов. Идеально подходит для юнит-тестов функций, использующих requests."
req_33,Синхронность vs Асинхронность,requests — синхронная библиотека и блокирует поток выполнения. Для асинхронных задач используйте aiohttp или httpx.
req_34,Кеширование ответов,Пакет requests-cache прозрачно оборачивает requests.Session и кэширует ответы в SQLite/Redis. Ускоряет повторные запросы к статическим данным.
req_35,Частые ошибки новичков,"Забывание timeout, неправильная обработка response.json() без проверки статус-кода, и игнорирование SSL-ошибок — основные проблемы в продакшене."
